GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-inventario,com.smartlogix.inventario,InventarioApplication,5,3,0,0,2,1,1,1,1,1
ms-inventario,com.smartlogix.inventario.dto,StockUpdateRequestDTO,0,24,0,0,0,7,0,7,0,7
ms-inventario,com.smartlogix.inventario.controller,InventoryController,35,20,0,0,7,5,5,2,5,2
ms-inventario,com.smartlogix.inventario.entity,ProductInventory,32,32,0,0,13,15,6,9,6,9
ms-inventario,com.smartlogix.inventario.entity,Warehouse,27,13,0,0,12,6,8,2,8,2
ms-inventario,com.smartlogix.inventario.service,InventoryService,67,65,5,3,13,16,9,4,6,3
